name,family,n_rows,n_cols,n_vertices,n_edges,n_faces,euler_check,handshake_check,invariants_ok,n_faces_3,n_faces_4,n_faces_5,n_faces_6,n_faces_7,n_faces_8,n_faces_9,n_faces_10,n_faces_11,n_faces_12,n_faces_ge13,mean_face_size,std_face_size,n_distinct_face_sizes,mean_edge_length,std_edge_length,min_edge_length,max_edge_length,n_reentrant_angles,n_reentrant_vertices,frac_reentrant_vertices,mean_vertex_min_angle,mean_vertex_max_angle,cell_area,edge_density,K_beam,G_beam,K_over_G_beam,nu_anisotropy_beam,fam_token_3,fam_token_4,fam_token_5,fam_token_6,fam_token_7,fam_token_8,fam_token_9,fam_token_10,fam_token_11,fam_token_12,nu_min_spring,nu_max_spring,spring_classification,nu_min_beam,nu_max_beam,beam_classification,is_homogeneous_auxetic,is_directional_auxetic
3x5_188,3_4_6_7,3,5,12,24,12,0,0,1,5,5,0,1,1,0,0,0,0,0,0,4.0,1.224744871391589,4,0.3207737973711325,0.11168948603370861,0.19999999999999996,0.6666666666666666,1,1,0.08333333333333333,0.7853981633974483,2.8389634886028325,15.0,1.6,0.09527495976042098,0.08676949798389205,1.0980236370401484,1.106768795138832,1,1,0,1,1,0,0,0,0,0,-0.45111343740290993,0.6292137021577355,directionally_auxetic,-0.4976973696712359,0.6090714254675962,directionally_auxetic,0,1
3x5_50,3_4_6_7,3,5,11,22,11,0,0,1,5,4,0,1,1,0,0,0,0,0,0,4.0,1.2792042981336627,4,0.34336217863167584,0.10769105710437925,0.19999999999999996,0.6666666666666666,1,1,0.09090909090909091,0.8522105260684113,2.717781125738172,15.0,1.4666666666666666,0.022409939852074335,0.07897687736601179,0.2837531768724829,0.4927416567912135,1,1,0,1,1,0,0,0,0,0,-0.40785589078294326,0.007199156058156541,directionally_auxetic,-0.5865834045699705,-0.09384174777875695,homogeneously_auxetic,1,0
3x5_293,3_4_6_7,3,5,12,24,12,0,0,1,5,5,0,1,1,0,0,0,0,0,0,4.0,1.224744871391589,4,0.3314153304123694,0.11045775574714985,0.19999999999999996,0.6666666666666666,1,1,0.08333333333333333,0.8262279405852592,2.883998446958715,15.0,1.6,0.09399835094854593,0.08591731071049313,1.094056019342629,1.478551583276848,1,1,0,1,1,0,0,0,0,0,-0.679247460618054,0.6760026829847893,directionally_auxetic,-0.7560448994376056,0.7225066838392425,directionally_auxetic,0,1
4x3_82,3_4_6_7,4,3,9,18,9,0,0,1,5,2,0,1,1,0,0,0,0,0,0,4.0,1.4142135623730951,4,0.39814814814814814,0.13764878469739358,0.25,0.6666666666666667,2,2,0.2222222222222222,0.7465339107934634,2.8240594819918523,12.0,1.5,0.08575959004400546,0.08958368697571893,0.957312574858077,2.104204472600975,1,1,0,1,1,0,0,0,0,0,-0.4511716775626367,1.214645360151406,directionally_auxetic,-0.6869584106703022,1.4172460619306728,directionally_auxetic,0,1
4x3_158,3_4_6_7,4,3,9,18,9,0,0,1,5,2,0,1,1,0,0,0,0,0,0,4.0,1.4142135623730951,4,0.3611111111111111,0.1001542020962219,0.25,0.6666666666666666,1,1,0.1111111111111111,0.6750337875942096,2.784092037593524,12.0,1.5,0.16833438173364812,0.05810421567750572,2.897111332987437,2.2353337065192536,1,1,0,1,1,0,0,0,0,0,-0.10581275136753193,1.8765120507919544,directionally_auxetic,-0.22156815273711775,2.013765553782136,directionally_auxetic,0,1
4x3_284,3_4_6_7,4,3,9,18,9,0,0,1,5,2,0,1,1,0,0,0,0,0,0,4.0,1.4142135623730951,4,0.3888888888888889,0.11785113019775792,0.25,0.6666666666666667,1,1,0.1111111111111111,0.7780665895943888,2.752559358792599,12.0,1.5,0.08748618006050311,0.05276119202390181,1.6581539708365618,1.7677325897140141,1,1,0,1,1,0,0,0,0,0,-0.03536361030264924,1.1329935820163057,directionally_auxetic,-0.3141724466921033,1.453560143021911,directionally_auxetic,0,1
4x3_405,3_4_6_7,4,3,9,18,9,0,0,1,5,2,0,1,1,0,0,0,0,0,0,4.0,1.4142135623730951,4,0.3703703703703704,0.12491423669659298,0.25,0.6666666666666667,1,1,0.1111111111111111,0.8810993915945678,2.6179938779914944,12.0,1.5,0.15172714039412644,0.12415913251285088,1.222037697294818,0.9995054839907056,1,1,0,1,1,0,0,0,0,0,-0.10536631947175841,0.8981349740735457,directionally_auxetic,-0.12291723955225492,0.8765882444384507,directionally_auxetic,0,1
4x4_53,3_4_6_7,4,4,13,26,13,0,0,1,8,2,0,1,2,0,0,0,0,0,0,4.0,1.5191090506254998,4,0.27389693629075546,0.04362963687236872,0.25,0.3535533905932738,0,0,0.0,1.0874743800887747,2.29577924685408,15.999999999999998,1.6250000000000002,0.15445661055344867,0.08996087286544202,1.7169309904815557,0.814320825601819,1,1,0,1,1,0,0,0,0,0,0.11754771181586672,0.8563062451537276,non_auxetic,0.08055110247495323,0.8948719280767722,non_auxetic,0,0
4x4_72,3_4_6_7,4,4,11,22,11,0,0,1,5,4,0,1,1,0,0,0,0,0,0,4.0,1.2792042981336627,4,0.3009691065254383,0.07751455352505401,0.25,0.5,0,0,0.0,1.0709974955419748,2.2847946571562128,15.999999999999998,1.3750000000000002,0.2760741667477363,0.07176411655954895,3.8469667012294857,0.6395685049566184,1,1,0,1,1,0,0,0,0,0,0.35000350215144943,0.9942247988113355,non_auxetic,0.35505220946857796,0.9946207144251964,non_auxetic,0,0
4x4_73,3_4_6_7,4,4,12,24,12,0,0,1,5,5,0,1,1,0,0,0,0,0,0,4.0,1.224744871391589,4,0.2880922317655456,0.07446161872410384,0.25,0.5,0,0,0.0,1.1126473981463851,2.22529479629277,15.999999999999998,1.5000000000000002,0.26177321480576854,0.13201169349443387,1.9829547510259455,1.0024952231403863,1,1,0,1,1,0,0,0,0,0,0.006384439953738356,1.0118759119179526,non_auxetic,0.007613158883912927,1.0101083820242993,non_auxetic,0,0
