family,name,n_rows,n_cols,n_vertices,n_edges,cell_area,spring_nu_min,spring_nu_max,spring_classification,beam_nu_min,beam_nu_max,beam_classification,phonon_acoustic_max,phonon_acoustic_mean,phonon_acoustic_min,phonon_acoustic_optical_gap,phonon_flat_acoustic_score,phonon_has_gap,phonon_n_bands,phonon_optical_min_BZ,phonon_optical_min_M,phonon_optical_min_X,phonon_optical_min_gamma,phonon_softmode_kx,phonon_softmode_ky,phonon_softmode_omega,phonon_v_anisotropy,phonon_v_max,phonon_v_min,phonon_v_ratio_xy,phonon_v_x_hi,phonon_v_x_lo,phonon_v_y_hi,phonon_v_y_lo,humidity_eta_aniso,humidity_eta_anisotropy_ratio,humidity_eta_max,humidity_eta_min,humidity_eta_pore,humidity_eta_xx,humidity_eta_xx_x,humidity_eta_xy,humidity_eta_xy_x,humidity_eta_yy,humidity_eta_yy_x
3_4_5,4x3_292,4,3,9,18,12.0,0.04185016269736092,1.787180159597292,non_auxetic,-0.06249857225823889,1.9293442056546233,directionally_auxetic,0.30476108131455554,0.16411507870900238,0.014131573542230309,-0.039740852793324954,0.0463693509724904,0,18,0.2650202285212306,0.3281558774339546,0.362407912982797,0.33915512727873065,-0.19634954084936207,-0.04908738521234052,0.03707271175849068,0.7756077816705057,0.7620458952637599,0.17099716890712063,0.7253486436717319,0.7620458952637599,0.238259935898509,0.5527489565451789,0.17099716890712063,0.0939512435925914,0.40947063775775977,0.04399614747026166,-0.10744640375481454,-0.2931282431748235,0.015250493654019263,0.016078365536853236,-0.059388572446568755,0.04809063478683428,-0.07870074993857214,0.017014507295758232
3_4_5,4x3_299,4,3,10,20,12.0,-0.1713393536275966,1.608642523589879,directionally_auxetic,-0.14933346610410617,1.5759933612342052,directionally_auxetic,0.26656292510323176,0.1645829551288522,0.017621100406997433,-0.11958392292341571,0.0661048433504896,0,20,0.14697900217981605,0.31168383185029014,0.34956658895960147,0.13998393609558762,-0.06544984694978735,0.14726215563702155,0.04669655852677736,0.7277742353900524,0.8242497354617621,0.22438201446562525,0.6373243058416168,0.8242497354617621,0.33771897149004,0.5253143904933038,0.22438201446562525,0.0074105571811284195,0.8949091215707211,0.015945076865947126,-0.017817537537175555,-0.24345130435874682,0.0027690482549499935,0.001614770538805603,-0.016469652194256966,0.014343257666964855,-0.004641508926178426,0.03271433443443797
3_4_5,4x3_305,4,3,10,20,12.0,-0.9069272275539075,2.1527210562353956,directionally_auxetic,-1.1998006186884844,2.5077961243277014,directionally_auxetic,0.3671289582208353,0.18388590659563658,0.021056193256098758,-0.19108442770109937,0.057353670378224586,0,20,0.17604453051973593,0.4305817048076797,0.4049599661509943,0.16820292530672704,-0.06544984694978735,-0.14726215563702155,0.026242925425038015,0.8084358096406362,0.8399572989351597,0.160905739906952,0.5100448805025122,0.8399572989351597,0.3775676397799741,0.4284159201625964,0.160905739906952,-0.029426624682114738,10.130985785751323,0.032437539450637314,-0.0032018147233272144,-0.21962054339658202,-9.544997740231856e-05,0.0038013356018237825,0.010052827037147792,0.03050174578948374,0.02933117470471242,0.07677170942587005
3_4_5,4x4_5,4,4,13,26,15.999999999999998,-1.2461589553764254,3.2128735051628037,directionally_auxetic,-1.3090548353231903,3.285748583248467,directionally_auxetic,0.31301513060473724,0.15491203030348177,0.007487998055172777,-0.17109048360466567,0.02392216005886405,0,26,0.14192464700007157,0.1664800664747968,0.33918673637950014,0.1549686991151614,-0.14726215563702155,-0.14726215563702155,0.022173942519203106,0.8827156106280342,0.9297222003870086,0.1090419005579507,0.8718693665804975,0.9297222003870086,0.3871620275920145,0.8105963059472475,0.1090419005579507,0.03249464788090753,1.0131212840381474,0.017104079926668715,-0.016882559073770963,-0.2477636214047694,0.016358084366902635,0.012412312117421947,0.00497969601587385,0.13046414334056064,-0.01613656351400489,0.24019392335098544
3_4_5,4x4_7,4,4,16,32,15.999999999999998,-2.8199219986409485,4.8605440056408895,directionally_auxetic,-3.194834739408212,5.242206078176997,directionally_auxetic,0.2682063548121034,0.144940373280923,0.006903192979981987,-0.13516171689580542,0.025738364718532303,0,32,0.133044637916298,0.34606220195060167,0.4278234280045204,0.148195232135619,-0.14726215563702155,-0.14726215563702155,0.02059568271059732,0.9027046118285237,1.0725808300682973,0.10435716820677916,0.48505765670795475,1.0725808300682973,0.35546561040581703,0.5202635440628013,0.10435716820677916,0.07721555093063284,0.16230216086700155,0.012607210385219617,-0.07767740317117891,-0.366719859852163,0.00607267907233677,0.00621399139384268,-0.023393749910537363,0.11969889845994104,-0.07114287185829607,0.20333727680735708
3_4_5,4x4_8,4,4,14,28,15.999999999999998,-2.0170682898579853,3.841027346363925,directionally_auxetic,-2.1859574484005257,3.985793258642959,directionally_auxetic,0.27952423552590405,0.14488304255195375,0.007303017757216254,-0.12301708028648439,0.026126599518199844,0,28,0.15650715523941966,0.22361443711244378,0.3151343062178635,0.1671445415892733,-0.14726215563702155,-0.14726215563702155,0.021785946090547348,0.8787435991981382,0.8826680918920664,0.10702915592547904,0.6597806373161806,0.8826680918920664,0.38301755043298613,0.5823673162072047,0.10702915592547904,0.036951614982548064,0.23306545265396228,0.00709292426297329,-0.030433185966451753,-0.28894880915166526,0.006805676639534802,0.0058664895504771195,-0.003270592420819513,0.12826805426066973,-0.030145938343013264,0.22711846583065318
3_4_5,4x4_9,4,4,15,30,15.999999999999998,-2.5824698836537,4.350826716108999,directionally_auxetic,-2.813686487487879,4.645081759543808,directionally_auxetic,0.23434568221565683,0.14367118910732324,0.007114048650434184,-0.09963084372387865,0.030357071584051987,0,30,0.13471483849177818,0.16688864086330973,0.2482501956326556,0.14524438391558336,-0.14726215563702155,-0.14726215563702155,0.02122647124239732,0.8918660455065819,0.9766153057104019,0.10560527502526419,0.5781874550246455,0.9766153057104019,0.38599312254918466,0.5646667181468135,0.10560527502526419,0.051087768103650434,0.15232251204604852,0.0075510505089693095,-0.0495727808551802,-0.32469653510845736,0.004533018878719773,0.004404630669486885,-0.012778615534433184,0.12363116484155781,-0.046554749224930664,0.21912446519617343
3_4_5,4x4_10,4,4,15,30,15.999999999999998,-2.644319940155931,4.343889211424054,directionally_auxetic,-2.855069494135571,4.627657298784432,directionally_auxetic,0.25752369892930177,0.14691361932391706,0.00709036880526834,-0.10881909287858987,0.027532878856384002,0,30,0.1487046060507119,0.17807289636542842,0.2773239086702253,0.15792767827405527,-0.14726215563702155,-0.14726215563702155,0.02116866740384441,0.8908349637566798,0.9649740774285839,0.10534143013635576,0.5593016152969063,0.9649740774285839,0.37764641701644025,0.5397115602254489,0.10534143013635576,0.053648261872723736,0.13781956232856923,0.007264184477187482,-0.0527079345954479,-0.3290468644759654,0.004102255877231664,0.0037760032706617586,-0.013402602957056628,0.12272129975835289,-0.049546005995492075,0.2151834056307968
3_4_5,4x4_11,4,4,16,32,15.999999999999998,-2.9993329964997204,4.760311117536119,directionally_auxetic,-3.378794790007858,5.139845922133189,directionally_auxetic,0.2660286243790079,0.14612856290492837,0.006906300832560029,-0.133658346540957,0.025960743317308355,0,32,0.13237027783805091,0.35247929441462994,0.42057297112792125,0.14803074246099604,-0.14726215563702155,-0.14726215563702155,0.020604409780770026,0.9007168682968928,1.0499204968291347,0.10423939496447879,0.49354081354176743,1.0499204968291347,0.36757963734941174,0.5181786161592278,0.10423939496447879,0.07308503345126753,0.13471850991055986,0.010316734885501671,-0.07657993613758786,-0.36825075272163904,0.0034109160995906755,0.0034788982154527357,-0.023503240842074058,0.11753026894783834,-0.06967411735167686,0.20383388284928633
3_4_5,4x4_12,4,4,14,28,15.999999999999998,-0.8303261994847551,0.49321540737394187,directionally_auxetic,-0.818839735828553,0.4922674208022033,directionally_auxetic,0.3245520044693653,0.18232200342478821,0.019493701532062705,-0.16798190476192976,0.06006341437925933,0,28,0.15657009970743552,0.33665126320373834,0.3289574717066847,0.1570801622512846,-0.04908738521234052,0.14726215563702155,0.02426569887211796,0.8474453323395807,0.9681040015662232,0.14768878421965712,0.4711074850244601,0.9681040015662232,0.44642287116575774,0.4560810414199794,0.14768878421965712,0.0069463503643509995,0.9981035731339246,0.008038190365968085,-0.00805346316988841,-0.2595698061057822,0.0034655387802153383,0.00412963962639436,0.0072575741493580955,0.012317073833206463,-0.0034808115841356616,0.0006527677069723154
